sale_id;sale_date;customer_id;customer_email;sku;product_name;quantity;unit_price;total_amount;status
ECO-034-2025;08/10/2025 03:20;CUST 1034;celia_alves24@sapo.pt  ;ERP_MOU_006_2024;  LG UltraWide 34" Monitor  ;2;943,63€;€1274,09;processing
ECO -035 -2025;01/10/2025;CUST_1035;  rosa.barbosa9@portugalmail.pt  ;ERP_PHONE_002_2024;  Samsung Galaxy S24 Ultra  ;1;885,20 EUR;2864,49 EUR;pending
ECO-036-2025;07/10/2025 08:26;CUST 1036;artur_leal@sapo.pt;ERP-PHONE-002-2024;Samsung Galaxy S24 Ultra  ;1 unidade;1399,26€;2264,95 EUR;COMPLETED
ECO -037 -2025;2025-10-02T02:13:15Z;CUST 1037;erica_macedo76@portugalmail.pt;ERP_LAP_001_2024;  Logitech MX Keys Mechanical Keyboard  ;2 unidades;1217,79;1569,57€;completed
ECO -038 -2025;2025/10/09 12:14;CUST 1038;adriana.oliveira..portugalmail.pt;ERP-MON-004-2024;ASUS VivoBook 15 Laptop;2 unidades;€451,81;2092,72;completed
ECO -039 -2025;05/10/2025 09:55;CUST_1039;luana70@yahoo.com  ;ERP/PHONE/002/2024;Logitech MX Master 3S Mouse;3 unidades;349,53€;EUR 1011,48;PENDING
ECO0402025;06/10/2025;CUST_1040;mariana17@mail.pt;ERP--TAB--003--2024;  LG UltraWide 34" Monitor;2;491,01;EUR 1792,43;completed
ECO -041 -2025;09/10/2025 02:34;CUST-1041;  hugo.saraiva1@mail.pt;ERP--LAP--001--2024;  Apple iPad Pro 12.9 512GB;3;EUR 977,37;1341,56;completed
ECO-042-2025;2025/10/04 01:37;CUST 1042;valentina.nascimento@aeiou.pt  ;ERP--LAP--001--2024;Samsung Galaxy S24 Ultra  ;3 un;520,64;€566,44;PENDING
ECO -043 -2025;2025-10-09T22:35:20Z;CUST_1043;luana19@yahoo.com  ;ERP--MOU--006--2024;Logitech MX Keys Mechanical Keyboard;3 un.;€363,94;€541,84;pending
ECO0442025;2025-10-03T01:34:12Z;CUST-1044;carmo.melo@mail.pt;ERP--MOU--006--2024;  Samsung Galaxy S24 Ultra;2 un.;EUR 328,18;1033,77;COMPLETED
ECO-045-2025  ;03-10-2025 15:19:15;CUST-1045;camila_fonseca@portugalmail.pt;ERP_TAB_003_2024;  ASUS VivoBook 15 Laptop  ;2 unidades;EUR 206,41;€2470,10;COMPLETED
ECO-046-2025  ;07/10/2025;CUST-1046;  teresa_machado91@hotmail.com;ERP-TAB-003-2024;Samsung Galaxy S24 Ultra;3;€1454,52;2104,20 EUR;completed
ECO0472025;01/10/2025;CUST_1047;benjamim84..live.com;ERP/MOU/006/2024;Apple iPad Pro 12.9 512GB  ;3 un;EUR 550,82;EUR 2857,38;pending
  ECO-048-2025;03-10-2025 01:14:00;CUST 1048;leandro7..live.com;ERP KEY 005 2024;Logitech MX Keys Mechanical Keyboard  ;3;1420,39;2896,38;PENDING
ECO-049-2025;09/10/2025 00:53;CUST 1049;  adriana_maia77@sapo.pt;  ERP-KEY-005-2024  ;Logitech MX Keys Mechanical Keyboard  ;2 unidades;354,55€;2290,66;pending
ECO0502025;2025-10-09T07:04:33Z;CUST-1050;  paula_branco83@yahoo.com  ;  ERP-MOU-006-2024  ;LG UltraWide 34" Monitor;3 unidades;586,77;€238,05;PENDING
