sale_id;sale_date;customer_id;customer_email;sku;product_name;quantity;unit_price;total_amount;status
ECO-018-2025;2025-10-04T04:14:00Z;CUST-1018;igor98@sapo.pt;ERP/KEY/005/2024;LG UltraWide 34" Monitor  ;2 un;627,06 EUR;EUR 2726,78;processing
ECO-019-2025;04/10/2025 21:06;CUST_1019;paula60..yahoo.com;  ERP-PHONE-002-2024  ;  Samsung Galaxy S24 Ultra;3 un;758,99€;268,95;COMPLETED
ECO0202025;2025-10-09T20:23:54Z;CUST 1020;mia.figueiredo97..portugalmail.pt;ERP_KEY_005_2024;  ASUS VivoBook 15 Laptop  ;3 un;1187,26€;€2781,77;processing
ECO-021-2025;04-10-2025 15:49:27;CUST 1021;benedita_assuncao@yahoo.com;ERP_PHONE_002_2024;  LG UltraWide 34" Monitor;3 un;EUR 1317,58;1722,69;PENDING
ECO-022-2025;2025-10-03T05:56:50Z;CUST 1022;martim_goncalves34@mail.pt;ERP_MOU_006_2024;Logitech MX Keys Mechanical Keyboard;3 un;1263,06 EUR;€2678,54;pending
ECO-023-2025  ;06-10-2025 08:43:47;CUST-1023;  lucas_tavares@aeiou.pt;  ERP-TAB-003-2024  ;Logitech MX Keys Mechanical Keyboard;2 unidades;€714,36;EUR 2127,66;Completed
ECO0242025;2025-10-02T06:18:11Z;CUST-1024;david_gomes@gmail.com;ERP-LAP-001-2024;  Samsung Galaxy S24 Ultra  ;1 unidade;199,21;€2627,66;pending
ECO-025-2025;09/10/2025;CUST 1025;valter70..outlook.com;ERP--MOU--006--2024;ASUS VivoBook 15 Laptop;2 unidades;598,38 EUR;477,86€;COMPLETED
ECO -026 -2025;07/10/2025;CUST_1026;luis.antunes@aeiou.pt;  ERP-MOU-006-2024  ;ASUS VivoBook 15 Laptop  ;1 un;798,01€;EUR 1507,90;Completed
ECO0272025;09/10/2025;CUST 1027;  angelo55@outlook.com  ;ERP--MON--004--2024;LG UltraWide 34" Monitor  ;2 un.;€991,64;€2950,39;COMPLETED
ECO0282025;06-10-2025 12:17:10;CUST_1028;  silvia_macedo35@hotmail.com;  ERP-LAP-001-2024  ;  Logitech MX Master 3S Mouse;1 un;€1389,24;2080,07€;pending
ECO-029-2025;2025-10-09T10:50:09Z;CUST_1029;paulo27@aeiou.pt;ERP--PHONE--002--2024;Logitech MX Master 3S Mouse;3;559,91 EUR;2397,40 EUR;processing
ECO -030 -2025;02-10-2025 14:12:26;CUST 1030;leonor.freitas3@sapo.pt  ;ERP_LAP_001_2024;  Logitech MX Master 3S Mouse;3;175,68€;EUR 1396,48;PENDING
ECO -031 -2025;09/10/2025 05:44;CUST 1031;tomas.ribeiro72@outlook.com;ERP MOU 006 2024;  Logitech MX Master 3S Mouse;3;1159,33 EUR;669,21 EUR;COMPLETED
ECO0322025;2025-10-06T06:22:35Z;CUST_1032;mia.teixeira@portugalmail.pt;ERP LAP 001 2024;Apple iPad Pro 12.9 512GB  ;2 un.;€889,74;318,54 EUR;COMPLETED
ECO -033 -2025;08/10/2025 12:50;CUST_1033;emilia_ramos..aeiou.pt;ERP/TAB/003/2024;  Apple iPad Pro 12.9 512GB  ;1;886,19;1264,06 EUR;COMPLETED
ECO -034 -2025;09/10/2025;CUST_1034;jaime.freitas@outlook.com;ERP-TAB-003-2024;Apple iPad Pro 12.9 512GB;1;342,05;EUR 873,38;processing
ECO0352025;2025-10-05T14:46:12Z;CUST_1035;francisca7..yahoo.com;ERP KEY 005 2024;Logitech MX Master 3S Mouse  ;1;EUR 983,98;EUR 2651,19;COMPLETED
ECO0362025;2025/10/04 23:45;CUST-1036;gabriel.leite@live.com;ERP--LAP--001--2024;Logitech MX Keys Mechanical Keyboard  ;3 un;1324,85€;EUR 1566,61;completed
ECO-037-2025;05-10-2025 13:05:16;CUST 1037;pilar18..outlook.com;ERP KEY 005 2024;  Samsung Galaxy S24 Ultra;2;1406,80;EUR 455,99;processing
ECO0382025;06-10-2025 04:29:46;CUST_1038;leonor39@hotmail.com;ERP_MON_004_2024;  Logitech MX Master 3S Mouse  ;2 un;492,61;1102,19€;PENDING
ECO -039 -2025;2025-10-02T03:34:50Z;CUST 1039;silvia_marques..hotmail.com;ERP_LAP_001_2024;Samsung Galaxy S24 Ultra  ;3;EUR 378,82;583,26;completed
ECO -040 -2025;03/10/2025 15:53;CUST_1040;catarina_mota@portugalmail.pt;ERP-KEY-005-2024  ;Apple iPad Pro 12.9 512GB  ;3 un;272,20;1439,15€;COMPLETED
ECO -041 -2025;06-10-2025 04:29:56;CUST 1041;rita.paiva..sapo.pt;ERP LAP 001 2024;  ASUS VivoBook 15 Laptop;2 un;426,45 EUR;2240,39;processing
ECO -042 -2025;01-10-2025 12:00:39;CUST_1042;lorena_mota@yahoo.com;ERP_MOU_006_2024;  Logitech MX Keys Mechanical Keyboard;2 un;112,88 EUR;1595,72;COMPLETED
  ECO-043-2025;2025-10-09T12:23:52Z;CUST 1043;matias_silva..hotmail.com;ERP--KEY--005--2024;Samsung Galaxy S24 Ultra  ;2 unidades;920,01€;626,12€;Completed
ECO0442025;03-10-2025 19:10:20;CUST 1044;nicole6..gmail.com;ERP_MOU_006_2024;  Logitech MX Master 3S Mouse  ;1;313,17 EUR;742,09€;processing
ECO0452025;2025-10-01T14:28:06Z;CUST_1045;romeu57@hotmail.com;ERP MON 004 2024;LG UltraWide 34" Monitor  ;1 un;€336,11;539,12 EUR;completed
ECO0462025;03-10-2025 06:44:56;CUST_1046;sandro_pinto94..hotmail.com;ERP/KEY/005/2024;  Logitech MX Keys Mechanical Keyboard  ;3 un.;226,49;545,70;COMPLETED
ECO-047-2025;06/10/2025 04:31;CUST_1047;gabriel.pires83..aeiou.pt;ERP--PHONE--002--2024;ASUS VivoBook 15 Laptop  ;1 un.;€1398,75;2984,92 EUR;completed
ECO-048-2025  ;06-10-2025 07:38:21;CUST_1048;marta.coelho@aeiou.pt;  ERP-PHONE-002-2024;Logitech MX Master 3S Mouse  ;2;EUR 1192,61;1011,26;processing
  ECO-049-2025  ;2025-10-05T08:03:49Z;CUST-1049;aurora.nunes81..mail.pt;ERP/LAP/001/2024;Apple iPad Pro 12.9 512GB  ;3 un;726,08;EUR 2348,58;completed
ECO0502025;09/10/2025;CUST 1050;  valentina_sa@aeiou.pt;ERP-MOU-006-2024;Samsung Galaxy S24 Ultra;1;€1297,17;2111,96;pending
ECO -051 -2025;07/10/2025;CUST_1051;adriana.jesus@portugalmail.pt  ;ERP--MON--004--2024;  Logitech MX Master 3S Mouse  ;2 un.;556,54€;€625,64;pending
ECO -052 -2025;02/10/2025;CUST_1052;fernando55..live.com;ERP--MOU--006--2024;  Logitech MX Master 3S Mouse;3 unidades;€980,05;2829,16€;PENDING
ECO -053 -2025;04/10/2025;CUST 1053;  angelo_neto44@mail.pt  ;ERP_MON_004_2024;  Logitech MX Keys Mechanical Keyboard;1 un;1495,68;€1377,80;processing
ECO0542025;07/10/2025 12:59;CUST-1054;rafaela84@aeiou.pt;ERP_PHONE_002_2024;LG UltraWide 34" Monitor  ;3 un;€1231,00;€285,02;completed
  ECO-055-2025;2025-10-04T07:31:41Z;CUST 1055;flor.figueiredo..hotmail.com;ERP_PHONE_002_2024;  Samsung Galaxy S24 Ultra  ;3;EUR 371,12;€2617,53;Completed
ECO-056-2025;2025-10-01T23:15:23Z;CUST 1056;  daniela_figueiredo64@live.com  ;ERP/MON/004/2024;  Samsung Galaxy S24 Ultra  ;1;1079,02;278,74€;PENDING
ECO-057-2025;09/10/2025 10:43;CUST 1057;frederico36..hotmail.com;ERP_TAB_003_2024;  LG UltraWide 34" Monitor  ;2 un;1331,71€;€2581,75;PENDING
ECO-058-2025;2025/10/03 04:13;CUST 1058;  ema95@yahoo.com;ERP/MOU/006/2024;Apple iPad Pro 12.9 512GB;3 unidades;1046,05€;1586,02 EUR;COMPLETED
  ECO-059-2025  ;02/10/2025 20:36;CUST 1059;iris.leal6@yahoo.com;ERP_MOU_006_2024;Logitech MX Keys Mechanical Keyboard  ;2;155,23€;2718,69 EUR;pending
ECO -060 -2025;2025-10-03T22:16:21Z;CUST_1060;jessica_moreira@hotmail.com;ERP--TAB--003--2024;  Samsung Galaxy S24 Ultra  ;2 un;EUR 905,91;EUR 977,31;PENDING
ECO-061-2025;04/10/2025;CUST_1061;afonso.alves..gmail.com;ERP/PHONE/002/2024;ASUS VivoBook 15 Laptop;1 un.;508,91;EUR 251,48;pending
ECO0622025;07-10-2025 15:42:07;CUST 1062;rita_rocha25..yahoo.com;ERP KEY 005 2024;Logitech MX Keys Mechanical Keyboard  ;2 un.;€1364,96;361,19;COMPLETED
ECO-063-2025;2025-10-09T02:53:00Z;CUST 1063;julia1..hotmail.com;ERP_PHONE_002_2024;  Logitech MX Master 3S Mouse;1 unidade;553,53 EUR;756,04;completed
ECO-064-2025;2025-10-09T21:43:55Z;CUST_1064;  fabiana88@gmail.com  ;  ERP-MOU-006-2024;  LG UltraWide 34" Monitor  ;2 unidades;EUR 758,44;EUR 1927,17;Completed
ECO-065-2025  ;01/10/2025 22:49;CUST 1065;carlos1@sapo.pt;ERP/TAB/003/2024;  Logitech MX Master 3S Mouse  ;3 unidades;704,46 EUR;€2292,26;PENDING
  ECO-066-2025;03/10/2025 03:21;CUST-1066;marcos6@outlook.com;  ERP-PHONE-002-2024;  LG UltraWide 34" Monitor  ;3;441,11€;2740,47€;pending
  ECO-067-2025;07/10/2025;CUST-1067;mariana15@portugalmail.pt;ERP--KEY--005--2024;Logitech MX Master 3S Mouse  ;1 unidade;€256,18;€1077,82;processing
ECO0682025;05/10/2025;CUST-1068;paulo_costa..outlook.com;ERP MON 004 2024;ASUS VivoBook 15 Laptop;3 un.;856,39 EUR;1437,25;pending
ECO-069-2025  ;2025/10/04 21:22;CUST_1069;tiago_matias..hotmail.com;ERP KEY 005 2024;  Logitech MX Master 3S Mouse;1 un.;425,37€;EUR 934,62;Completed
ECO0702025;08/10/2025 14:05;CUST-1070;marta.henriques@outlook.com;ERP--MOU--006--2024;Logitech MX Keys Mechanical Keyboard;1 un;989,33 EUR;2564,45 EUR;completed
